ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,2,60831220,0043
2019,1,60730170,0069
2019,147,60864190,0017
2019,2,60534030,0034
2019,1,60510570,0059
2019,2,60011110,0031
2019,10,60525460,0035
2019,14,60440040,0027
2019,16,60175230,0052
2019,4,60545350,0015
2019,78,60325000,0031
2019,7,60325140,0049
2019,1,60455660,0007
2019,2,60764330,0044
2019,5,60180410,0067
2019,59,60410691,0070
2019,3,60820180,0062
2019,1,60763790,0044
2019,2,60325730,0049
2019,12,60713750,0044
2019,64,60325130,0049
2019,16,60165120,0060
2019,2,60730160,0069
2019,1,60425810,0026
2019,8,60410691,0070
2019,7,60180000,0067
2019,2,60320520,0068
2019,4,60730050,0069
2019,1,60525540,0035
2019,3,60440040,0027
2019,1,60337180,0006
2019,93,60743410,0064
2019,3,60763710,0044
2019,2,60430440,0063
2019,1,60730230,0056
2019,2,60455470,0007
2019,22,60850010,0005
2019,1,60526760,0033
2019,1,60430160,0063
2019,6,60320560,0068
2019,21,60534010,0034
2019,1,60831411,0043
2019,2,60120420,0005
2019,1,60175270,0052
2019,1,60713750,0044
2019,2,60337120,0006
2019,56,60325000,0031
2019,4,60182330,0009
2019,6,60710830,0045
2019,16,60181180,0052
2019,5,60831610,0043
2019,18,60764020,0044
2019,4,60440070,0027
2019,5,60545430,0015
2019,2,60425000,0039
2019,2,60732790,0014
2019,1,60060420,0060
2019,1,60832830,0043
2019,3,60325200,0049
2019,3,60010720,0031
2019,1,60540250,0014
2019,6,60713200,0044
2019,1,60180320,0067
2019,3,60175270,0052
2019,1,60311010,0025
2019,1,60831270,0043
2019,1,60430070,0063
2019,2,60860150,0028
2019,5,60864311,0017
2019,1,60851030,0005
2019,3,60831460,0043
2019,15,60764070,0044
2019,3,60416530,0070
2019,1,60180010,0067
2019,8,60741420,0064
2019,9,60060260,0060
2019,6,60510461,0059
2019,17,60545350,0015
2019,5,60431070,0063
2019,2,60350550,0049
2019,4,60165270,0066
2019,1,60711050,0045
2019,54,60325210,0049
2019,2,60520030,0041
2019,8,60511290,0059
2019,3,60011170,0031
2019,1,60833490,0002
2019,95,60851250,0005
2019,5,60741300,0064
2019,3,60430420,0063
2019,1,60326170,0049
2019,1,60430150,0063
2019,1,60822370,0018
2019,3,60734100,0056
2019,18,60730740,0069
2019,8,60713750,0044
2019,4,60830640,0002
2019,2,60710710,0045
2019,4,60822180,0018
2019,6,60741300,0064
2019,1,60326170,0049
2019,3,60310570,0025
2019,4,60325690,0049
2019,4,60320510,0068
2019,8,60730230,0056
2019,2,60440030,0027
2019,142,60011170,0031
2019,2,60741570,0064
2019,3,60822180,0018
2019,2,60850690,0005
2019,2,60416030,0039
2019,2,60743410,0064
2019,7,60510220,0035
2019,1,60430270,0063
2019,1,60831370,0043
2019,1,60455470,0007
2019,1,60355000,0006
2019,28,60851490,0005
2019,13,60520020,0041
2019,22,60325000,0031
2019,1,60011320,0031
2019,1,60350550,0049
2019,1,60831620,0043
2019,26,60833020,0043
2019,5,60411080,0070
2019,57,60175270,0052
2019,1,60160260,0066
2019,1,60425810,0026
2019,2,60741000,0064
